序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
66,保利西山林语一期地下字母车位,2017-01-15,保利西山林语,海淀,海淀北部新区,, 五至六环,28,10951,25.57,2009年建,车位,地下室,南,其他,http://bj.lianjia.com/ershoufang/101101078971.html
67,保利一期子母车位空间充足出入方便,2017-01-15,保利西山林语,海淀,海淀北部新区,, 五至六环,28,10268,27.27,2009年建,车位,地下室,南,其他,http://bj.lianjia.com/ershoufang/101101078957.html
68,海特花园小区2室2厅480万,2017-01-15,海特花园小区,石景山,苹果园,, 五至六环,480,56049,85.64,1998年建/板楼,2室2厅,中楼层/共7层,西南,平层/其他,http://bj.lianjia.com/ershoufang/101101078857.html
69,静安里3室1厅430万,2017-01-15,静安里,朝阳,国展,, 二至三环,430,73279,58.68,1981年建/板楼,3室1厅,高楼层/共5层,南北,毛坯,http://bj.lianjia.com/ershoufang/101101078854.html
70,大石桥胡同10号院2室1厅760万,2017-01-15,大石桥胡同10号院,西城,六铺炕,, 二环内,760,140741,54,1980年建/板楼,2室1厅,中楼层/共6层,南,精装,http://bj.lianjia.com/ershoufang/101101078852.html
71,三源里街1室1厅295万,2017-01-15,三源里街,朝阳,燕莎,, 二至三环,295,79752,36.99,1981年建/板楼,1室1厅,中楼层/共6层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101078798.html
72,莲竹花园2室1厅320万,2017-01-15,莲竹花园,顺义,中央别墅区,, 五至六环,320,41754,76.64,2000年建/板楼,2室1厅,低楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101078736.html
73,东亚创展国际1室0厅140万,2017-01-15,东亚创展国际,顺义,后沙峪,, ,140,36583,38.27,未知年建,1室0厅,低楼层/共13层,西,精装,http://bj.lianjia.com/ershoufang/101101078718.html
74,中海安德鲁斯庄园5室3厅1200万,2017-01-15,中海安德鲁斯庄园,朝阳,百子湾,, 四至五环,1200,52708,227.67,2005年建/板楼,5室3厅,上叠别墅/共4层,南北,精装,http://bj.lianjia.com/ershoufang/101101078697.html
75,龙跃苑四区3室1厅500万,2017-01-15,龙跃苑四区,昌平,回龙观,, 五至六环,500,41688,119.94,2005年建/板楼,3室1厅,中楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101078693.html
