序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
1251,杨庄22号院1室1厅260万,2017-01-11,杨庄22号院,通州,通州北苑,, 五至六环,260,57984,44.84,2004年建/板楼,1室1厅,低楼层/共6层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101062769.html
1252,和平街十三区2室1厅698万,2017-01-11,和平街十三区,朝阳,和平里,, 二至三环,698,94274,74.04,2000年建/塔楼,2室1厅,高楼层/共22层,西,平层/精装,http://bj.lianjia.com/ershoufang/101101062767.html
1253,康静里3室1厅380万,2017-01-11,康静里,朝阳,东坝,, 四至五环,380,45024,84.4,1994年建/板楼,3室1厅,中楼层/共6层,东西,其他,http://bj.lianjia.com/ershoufang/101101062765.html
1254,王府温馨公寓3室1厅430万,2017-01-11,王府温馨公寓,昌平,北七家,, 五至六环,430,31362,137.11,2003年建/板楼,3室1厅,中楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062749.html
1255,上林苑1室2厅328万,2017-01-11,上林苑,大兴,大兴其它,, 五至六环,328,43198,75.93,2001年建/板楼,1室2厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062748.html
1256,公园18721室1厅580万,2017-01-11,公园1872,朝阳,石佛营,, 四至五环,580,64160,90.4,2008年建/板楼,1室1厅,中楼层/共21层,东北,其他,http://bj.lianjia.com/ershoufang/101101062737.html
1257,南三环马公庄，房子满五年，南北通透，房子有钥匙,2017-01-11,马公庄,丰台,木樨园,, 三至四环,360,54629,65.9,1986年建/板楼,2室1厅,中楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101062711.html
1258,望京西园一区1室1厅380万,2017-01-11,望京西园一区,朝阳,望京,, 四至五环,380,64103,59.28,2008年建/塔楼,1室1厅,低楼层/共28层,北,平层/精装,http://bj.lianjia.com/ershoufang/101101062700.html
1259,一层带花园，有加建80平左右，精装修，看房随时,2017-01-11,裕龙一区,顺义,顺义城,, 六环外,450,52090,86.39,1998年建/板楼,3室1厅,低楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062673.html
1260,看房方便业主诚心出售税费少,2017-01-11,尚西泊图,丰台,太平桥,, 二至三环,800,78974,101.3,2004年建/板塔结合,2室1厅,高楼层/共24层,西南,精装,http://bj.lianjia.com/ershoufang/101101062665.html
1261,富力金禧花园2室2厅580万,2017-01-11,富力金禧花园,通州,新华大街,, 五至六环,580,67576,85.83,2013年建/板塔结合,2室2厅,高楼层/共18层,南,平层/其他,http://bj.lianjia.com/ershoufang/101101062660.html
1262,天洋城4代3室1厅249万,2017-01-11,天洋城4代,燕郊,燕郊城区,, ,249,30004,82.99,2014年建/板楼,3室1厅,低楼层/共3层,南北,精装,http://bj.lianjia.com/ershoufang/101101062655.html
1263,南北通透不临街，中间楼层，格局方正，看房方便。,2017-01-11,慧谷阳光,朝阳,望京,, 四至五环,1400,91624,152.8,2000年建/板塔结合,3室2厅,低楼层/共9层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062638.html
1264,群芳园2室1厅380万,2017-01-11,群芳园,通州,临河里,, 五至六环,380,45142,84.18,2001年建/板楼,2室1厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062637.html
1265,观景园南北通透精装修采光视野好两居室,2017-01-11,观景园,海淀,清河,, 五至六环,710,78436,90.52,2008年建/板楼,2室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062619.html
1266,南北通透两居，精装修，有正规客厅。,2017-01-11,安华里一区,朝阳,安贞,, 二至三环,550,87302,63,1988年建/板楼,2室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062600.html
1267,精装两居次顶层采光充足可观西山独院管理,2017-01-11,八宝庄,海淀,定慧寺,, 三至四环,498,79426,62.7,1990年建/塔楼,2室1厅,高楼层/共16层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101062593.html
1268,望京新城2室2厅820万,2017-01-11,望京新城,朝阳,望京,, 四至五环,820,63566,129,2000年建/板塔结合,2室2厅,高楼层/共25层,西,平层/精装,http://bj.lianjia.com/ershoufang/101101062565.html
1269,天居园2室1厅900万,2017-01-11,天居园,朝阳,北苑,, 五至六环,900,64772,138.95,2008年建/塔楼,2室1厅,中楼层/共32层,南,简装,http://bj.lianjia.com/ershoufang/101101062563.html
1270,长阳半岛2号院3室1厅460万,2017-01-11,长阳半岛2号院,房山,长阳,, 五至六环,460,48488,94.87,2012年建/板楼,3室1厅,低楼层/共9层,南北,精装,http://bj.lianjia.com/ershoufang/101101062559.html
1271,西环景苑，南北三居室，有电梯，看房随时,2017-01-11,西环景苑,西城,马连道,, 二至三环,920,85431,107.69,2001年建/塔楼,3室1厅,低楼层/共19层,南北,精装,http://bj.lianjia.com/ershoufang/101101062546.html
1272,左家庄北里1室1厅380万,2017-01-11,左家庄北里,朝阳,国展,, 二至三环,380,70449,53.94,1991年建/塔楼,1室1厅,中楼层/共21层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101062529.html
1273,万寿路乙5号院2室1厅957万,2017-01-11,万寿路乙5号院,海淀,万寿路,, 三至四环,957,111552,85.79,1998年建/板楼,2室1厅,中楼层/共12层,东西,其他,http://bj.lianjia.com/ershoufang/101101062523.html
1274,华严里2号院不临街两居92年板楼东西通透诚心卖,2017-01-11,华严里2号院,朝阳,健翔桥,, 三至四环,508,79239,64.11,1993年建/板楼,2室1厅,高楼层/共6层,东西,平层/简装,http://bj.lianjia.com/ershoufang/101101062496.html
1275,南二环，北京南站，迦南大厦，西北两居出售,2017-01-11,迦南大厦,丰台,北京南站,, 二至三环,612,46622,131.27,2000年建/塔楼,2室1厅,中楼层/共26层,西北,平层/简装,http://bj.lianjia.com/ershoufang/101101062492.html
1276,易居国际不限购配套完善交通便利诚意出售,2017-01-11,易居国际,亦庄开发区,亦庄,, 五至六环,167,31468,53.07,2013年建/塔楼,1室0厅,低楼层/共17层,南,简装,http://bj.lianjia.com/ershoufang/101101062486.html
1277,莫奈花园3室2厅1200万,2017-01-11,莫奈花园,顺义,后沙峪,, 五至六环,1200,65859,182.21,2005年建,3室2厅,共5层,南北,精装,http://bj.lianjia.com/ershoufang/101101062476.html
1278,营房西街高层小一居客厅带窗户名厨暗卫诚意出售,2017-01-11,营房西街,东城,崇文门,, 二环内,410,103930,39.45,1990年建/板楼,1室1厅,高楼层/共6层,东南北,简装,http://bj.lianjia.com/ershoufang/101101062468.html
1279,鸿顺园西区2室2厅330万,2017-01-11,鸿顺园西区,房山,良乡,, 五至六环,330,33156,99.53,2005年建/板楼,2室2厅,高楼层/共6层,南北,其他,http://bj.lianjia.com/ershoufang/101101062461.html
1280,朝阳门北大街2室1厅576万,2017-01-11,朝阳门北大街,朝阳,朝阳门外,, 二至三环,576,90453,63.68,1987年建/塔楼,2室1厅,低楼层/共16层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101062451.html
1281,交大东路31号院南北通透精装修三居室拎包入住,2017-01-11,交大东路31号院,海淀,西直门,, 二至三环,720,98631,73,1987年建/板楼,3室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062416.html
1282,七一宿舍南北通透一居室采光充足,2017-01-11,七一宿舍,昌平,鼓楼大街,, ,190,40417,47.01,未知年建,1室1厅,低楼层/共2层,南北,毛坯,http://bj.lianjia.com/ershoufang/101101062407.html
1283,新安里4室2厅460万,2017-01-11,新安里,大兴,黄村中,, 五至六环,460,23884,192.6,2000年建/板楼,4室2厅,高楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101062403.html
1284,美立方精装南向开间视野好采光好11年小区,2017-01-11,美立方,朝阳,北苑,, 五至六环,225,50023,44.98,2011年建/板塔结合,1室0厅,高楼层/共13层,南,精装,http://bj.lianjia.com/ershoufang/101101062401.html
1285,金顶阳光全南向两居室中间楼层,2017-01-11,金顶阳光,石景山,苹果园,, 五至六环,460,50897,90.38,2009年建/板楼,2室1厅,低楼层/共18层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101062398.html
1286,信和嘉园朝南两居室，高楼层，视野开阔，采光充足。,2017-01-11,信和嘉园,西城,马连道,, 二至三环,1070,109891,97.37,2006年建/板塔结合,2室2厅,高楼层/共20层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101062393.html
1287,满五年在京名下一套房子南北通透高楼层视野好,2017-01-11,玉桥南里,通州,玉桥,, 五至六环,330,53922,61.2,1992年建/板楼,2室1厅,高楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101062381.html
1288,南北通透中间楼层满五年采光和通风都好,2017-01-11,南湖中园二区,朝阳,望京,, 四至五环,485,71757,67.59,2000年建/板楼,2室1厅,中楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062350.html
1289,好位置三居满五年家庭一套住房精装修户型好,2017-01-11,富力又一城A区,朝阳,豆各庄,, 五至六环,850,52861,160.8,2005年建/板楼,3室2厅,中楼层/共22层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062325.html
1290,东城区安定门地铁总价低的优质一居室,2017-01-11,西营房,东城,安定门,, 二至三环,379,95683,39.61,2006年建/塔楼,1室0厅,中楼层/共17层,北,平层/精装,http://bj.lianjia.com/ershoufang/101101062306.html
1291,新华街五里2室1厅370万,2017-01-11,新华街五里,丰台,看丹桥,, 三至四环,370,53842,68.72,1998年建/板塔结合,2室1厅,高楼层/共14层,南北,其他,http://bj.lianjia.com/ershoufang/101101062301.html
1292,壹克拉公馆1室1厅200万,2017-01-11,壹克拉公馆,燕郊,燕郊城区,, ,200,32363,61.8,2012年建/板楼,1室1厅,高楼层/共16层,西南,毛坯,http://bj.lianjia.com/ershoufang/101101062297.html
1293,不限购，精装大一居，民水民电，燃气入户,2017-01-11,北京像素南区,朝阳,常营,, 五至六环,310,60797,50.99,2012年建/板塔结合,2室1厅,中楼层/共16层,北,精装,http://bj.lianjia.com/ershoufang/101101062296.html
1294,国融国际房子所在中间楼层低总价,2017-01-11,国融国际,亦庄开发区,亦庄,, 五至六环,100,30405,32.89,2008年建/塔楼,1室1厅,中楼层/共21层,北,平层/其他,http://bj.lianjia.com/ershoufang/101101062289.html
1295,静心苑正规两居室诚心出售交通便利,2017-01-11,静心苑,昌平,西关环岛,, 六环外,320,40282,79.44,2003年建/板楼,2室1厅,高楼层/共6层,东西,简装,http://bj.lianjia.com/ershoufang/101101062286.html
1296,夏威夷蓝湾3室1厅270万,2017-01-11,夏威夷蓝湾,燕郊,燕郊城区,, ,270,30471,88.61,2017年建/塔楼,3室1厅,低楼层/共33层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062277.html
1297,翠微路4号2室1厅495万,2017-01-11,翠微路4号,海淀,公主坟,, 三至四环,495,99398,49.8,1986年建/板楼,2室1厅,中楼层/共5层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101062276.html
1298,双南小两居地铁口精装修电梯房中间层诚心出售,2017-01-11,复兴门外大街,西城,木樨地,, 二至三环,600,115607,51.9,1979年建/板塔结合,2室1厅,中楼层/共12层,南,精装,http://bj.lianjia.com/ershoufang/101101062264.html
1299,北苑新街坊+东北正规两居+客厅带阳台,2017-01-11,新街坊,朝阳,北苑,, 五至六环,630,67093,93.9,2005年建/板塔结合,2室1厅,低楼层/共18层,东北,精装,http://bj.lianjia.com/ershoufang/101101062257.html
1300,西马金润一区2室1厅495万,2017-01-11,西马金润一区,丰台,马家堡,, 三至四环,495,65021,76.13,1999年建/板楼,2室1厅,低楼层/共7层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062252.html
1301,瑞海家园两居室南北通透满五年商品房,2017-01-11,瑞海家园三区,大兴,西红门,, 四至五环,430,44764,96.06,2004年建/板楼,2室1厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101062245.html
1302,六里桥地铁7号线太平桥东里中高层无遮挡,2017-01-11,太平桥东里,丰台,太平桥,, 二至三环,500,65833,75.95,1989年建/塔楼,3室1厅,中楼层/共24层,东西北,平层/精装,http://bj.lianjia.com/ershoufang/101101062234.html
1303,全明户型精装修运河公园距离6号线北运河西站783米,2017-01-11,运河湾,通州,武夷花园,, 五至六环,930,64597,143.97,2011年建/板塔结合,3室1厅,低楼层/共33层,南北,精装,http://bj.lianjia.com/ershoufang/101101062228.html
1304,义和庄东里2室1厅300万,2017-01-11,义和庄东里,大兴,黄村火车站,, 五至六环,300,37510,79.98,2000年建/板楼,2室1厅,低楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062227.html
1305,朝庭公寓4室2厅1800万,2017-01-11,朝庭公寓,朝阳,望京,, 四至五环,1800,80000,225,2008年建/板塔结合,4室2厅,低楼层/共27层,南北,跃层/精装,http://bj.lianjia.com/ershoufang/101101062214.html
1306,园博嘉园3室2厅780万,2017-01-11,园博嘉园,丰台,丰台其它,, ,780,57616,135.38,未知年建,3室2厅,中楼层/共18层,南北,精装,http://bj.lianjia.com/ershoufang/101101062200.html
1307,精装修南向两居室户型方正格局合理客厅落地阳台,2017-01-11,福城上上城六期,燕郊,燕郊城区,, ,235,31126,75.5,2013年建/板楼,2室2厅,低楼层/共26层,南,其他,http://bj.lianjia.com/ershoufang/101101062191.html
1308,满五年业主名下仅有的一套商品房产权清晰无抵押,2017-01-11,富莱茵花园,东城,永定门,, 二至三环,435,67800,64.16,1995年建/塔楼,2室1厅,低楼层/共21层,东,平层/简装,http://bj.lianjia.com/ershoufang/101101062188.html
1309,弘善家园朝南开间诚心出售采光充足无遮挡,2017-01-11,弘善家园,朝阳,潘家园,, 二至三环,275,59718,46.05,2012年建/塔楼,1室0厅,中楼层/共28层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101062186.html
1310,上林溪2室2厅800万,2017-01-11,上林溪,海淀,安宁庄,, 五至六环,800,73754,108.47,2011年建/板楼,2室2厅,中楼层/共11层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101062162.html
1311,税苑小区1室0厅117万,2017-01-11,税苑小区,燕郊,燕郊城区,, ,117,22337,52.38,2006年建/板楼,1室0厅,中楼层/共5层,南,平层/其他,http://bj.lianjia.com/ershoufang/101101062135.html
1312,晓月苑三里2室1厅389万,2017-01-11,晓月苑三里,丰台,卢沟桥,, 四至五环,389,54620,71.22,1998年建/板楼,2室1厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101062129.html
1313,金融街融汇2室1厅320万,2017-01-11,金融街融汇,大兴,天宫院,, ,320,45931,69.67,2014年建/板楼,2室1厅,高楼层/共21层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101062124.html
1314,当代城市家园可二改三花园社区,2017-01-11,当代城市家园,海淀,上地,, ,780,79044,98.68,2003年建/板楼,2室2厅,中楼层/共11层,南北,精装,http://bj.lianjia.com/ershoufang/101101062117.html
1315,满五年无二套户型优质业主诚心出售,2017-01-11,柏林爱乐二期,朝阳,管庄,, 五至六环,860,45745,188,2004年建/塔楼,3室2厅,中楼层/共22层,东南,简装,http://bj.lianjia.com/ershoufang/101101062110.html
1316,富力城南向三居眼镜户型带双阳台看湖景,2017-01-11,富力城A区,朝阳,双井,, 二至三环,1450,103454,140.16,2004年建/板塔结合,3室1厅,中楼层/共18层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101062092.html
1317,福城上上城二季2室1厅270万,2017-01-11,福城上上城二季,燕郊,燕郊城区,, ,270,30121,89.64,2009年建/板塔结合,2室1厅,中楼层/共18层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101062079.html
1318,福城上上城五期2室1厅250万,2017-01-11,福城上上城五期,燕郊,燕郊城区,, ,250,28582,87.47,2009年建/板楼,2室1厅,高楼层/共18层,西南,平层/其他,http://bj.lianjia.com/ershoufang/101101062071.html
1319,角门东，地铁房，中间层，南北两居，随时签约,2017-01-11,司达小区,丰台,角门,, 三至四环,350,61372,57.03,1990年建/板楼,2室1厅,低楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101062057.html
1320,正规一居室小区中间位置　适合各种贷款！,2017-01-10,柏林爱乐二期,朝阳,管庄,, 五至六环,408,65187,62.59,2004年建/板楼,1室1厅,高楼层/共11层,东西,精装,http://bj.lianjia.com/ershoufang/101101062042.html
1321,正规一居室小区中间位置　适合各种贷款！,2017-01-10,柏林爱乐二期,朝阳,管庄,, 五至六环,408,65187,62.59,2004年建/板楼,1室1厅,高楼层/共11层,东西,精装,http://bj.lianjia.com/ershoufang/101101062042.html
1322,福城上上城二季3室2厅270万,2017-01-10,福城上上城二季,燕郊,燕郊城区,, ,270,29476,91.6,2009年建/板塔结合,3室2厅,低楼层/共15层,南,复式/精装,http://bj.lianjia.com/ershoufang/101101062039.html
1323,电梯高层，南北三居室，八通地铁,2017-01-10,逸秀名园,通州,新华大街,, 五至六环,750,48708,153.98,2004年建/板塔结合,4室2厅,高楼层/共18层,东南北,复式/精装,http://bj.lianjia.com/ershoufang/101101062038.html
1324,保利西山林语2室1厅635万,2017-01-10,保利西山林语,海淀,海淀北部新区,, 五至六环,635,66822,95.03,2010年建/板塔结合,2室1厅,低楼层/共8层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101062036.html
1325,富力全南向一层带花园带下跃，精装修！,2017-01-10,富力盛悦居,大兴,旧宫,, 四至五环,1040,60234,172.66,未知年建/板楼,4室2厅,低楼层/共18层,南,精装,http://bj.lianjia.com/ershoufang/101101062031.html
1326,康堡花园1室1厅770万,2017-01-10,康堡花园,朝阳,三里屯,, 二至三环,770,89849,85.7,2002年建/板塔结合,1室1厅,中楼层/共23层,西北,平层/精装,http://bj.lianjia.com/ershoufang/101101062030.html
1327,首创新悦都2室1厅330万,2017-01-10,首创新悦都,房山,长阳,, ,330,43715,75.49,2012年建/板楼,2室1厅,中楼层/共18层,南北,精装,http://bj.lianjia.com/ershoufang/101101062022.html
1328,六里桥东糖人街2004年商品房地铁九号线六里桥东站,2017-01-10,糖人街,丰台,太平桥,, 二至三环,345,69236,49.83,2004年建/塔楼,1室0厅,低楼层/共24层,西,平层/简装,http://bj.lianjia.com/ershoufang/101101061981.html
1329,精装修南北通透采光充足视野宽阔,2017-01-10,龙湖时代天街,大兴,天宫院,, 五至六环,485,49269,98.44,2014年建/板楼,3室1厅,高楼层/共15层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101061979.html
1330,瑞福楼3室2厅1230万,2017-01-10,瑞福楼,朝阳,国展,, 二至三环,1230,59195,207.79,2002年建/板塔结合,3室2厅,高楼层/共14层,东南西北,精装,http://bj.lianjia.com/ershoufang/101101061971.html
1331,南北通透正规两居低税费精装修,2017-01-10,城建宿舍,丰台,青塔,, 四至五环,305,53509,57,1990年建/板楼,2室1厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101061966.html
1332,空军机械家属院2室1厅340万,2017-01-10,空军机械家属院,昌平,西三旗,, 五至六环,340,61483,55.3,1989年建/板楼,2室1厅,低楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101061964.html
1333,百环家园2室1厅635万,2017-01-10,百环家园,朝阳,双井,, 三至四环,635,63367,100.21,2005年建/塔楼,2室1厅,低楼层/共28层,东南,平层/简装,http://bj.lianjia.com/ershoufang/101101061957.html
1334,马连道路甲18号院2室1厅550万,2017-01-10,马连道路甲18号院,西城,马连道,, 二至三环,550,88269,62.31,1995年建/板楼,2室1厅,中楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101061953.html
1335,远洋傲北联排别墅电梯入户独立花园2个车位,2017-01-10,远洋傲北,昌平,北七家,, 五至六环,1100,26746,411.29,未知年建,5室2厅,联排/共3层,南北,毛坯,http://bj.lianjia.com/ershoufang/101101061937.html
1336,富力盛悦居70年商品房，带电梯三居，南北通透,2017-01-10,富力盛悦居,大兴,旧宫,, 四至五环,780,78780,99.01,2013年建/板楼,3室1厅,中楼层/共9层,南北,精装,http://bj.lianjia.com/ershoufang/101101061919.html
1337,宣颐家园3室2厅745万,2017-01-10,宣颐家园,大兴,旧宫,, 四至五环,745,55350,134.6,2003年建/板楼,3室2厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101061917.html
1338,八角南里2001年钢混有电梯东向两室一厅地铁580米,2017-01-10,八角南里,石景山,八角,, 五至六环,395,52865,74.72,2001年建/塔楼,2室1厅,高楼层/共24层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101061904.html
1339,立水桥北方明珠民水民电有燃气70年大产权,2017-01-10,北方明珠,昌平,立水桥,, 五至六环,270,49136,54.95,2004年建/塔楼,1室0厅,高楼层/共19层,西,简装,http://bj.lianjia.com/ershoufang/101101061896.html
1340,温馨两居室，南北向，总价低，靠谱出售,2017-01-10,流星花园三区,昌平,回龙观,, 五至六环,510,53764,94.86,2004年建/板楼,2室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101061893.html
1341,千禧家园2室1厅220万,2017-01-10,千禧家园,房山,房山其它,, 六环外,220,22062,99.72,2004年建/板楼,2室1厅,低楼层/共6层,南北,毛坯,http://bj.lianjia.com/ershoufang/101101061890.html
1342,万年花城三期2室2厅650万,2017-01-10,万年花城三期,丰台,玉泉营,, 三至四环,650,68450,94.96,2006年建/板塔结合,2室2厅,中楼层/共20层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101061885.html
1343,五芳园1室1厅245万,2017-01-10,五芳园,石景山,鲁谷,, 四至五环,245,54013,45.36,1993年建/板楼,1室1厅,中楼层/共6层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101061882.html
1344,远洋万和公馆联排别墅独院带电梯前后无遮挡,2017-01-10,远洋万和公馆,朝阳,望京,, 四至五环,7000,84257,830.8,2013年建,5室5厅,联排/共3层,南北,跃层/毛坯,http://bj.lianjia.com/ershoufang/101101061872.html
1345,东南两居采光充足诚心出售看房方便,2017-01-10,保利嘉园三号院,朝阳,常营,, 五至六环,360,41783,86.16,2010年建/塔楼,2室1厅,低楼层/共24层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101061864.html
1346,东平里2室1厅258万,2017-01-10,东平里,朝阳,首都机场,, 五至六环,258,39085,66.01,1994年建/板楼,2室1厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101061855.html
1347,燕京航城西南2居室楼层好户型好,2017-01-10,燕京航城,燕郊,燕郊城区,, ,270,28794,93.77,2010年建/板塔结合,2室1厅,高楼层/共33层,西南,平层/其他,http://bj.lianjia.com/ershoufang/101101061854.html
1348,长滩壹号精装修南北通透一层带小院,2017-01-10,长滩壹号,昌平,南邵,, ,700,62995,111.12,2010年建/塔楼,3室2厅,低楼层/共9层,南北,精装,http://bj.lianjia.com/ershoufang/101101061845.html
1349,灵秀山庄3室2厅460万,2017-01-10,灵秀山庄,大兴,旧宫,, 四至五环,460,44857,102.55,2002年建/板楼,3室2厅,低楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101061839.html
1350,龙华园3室1厅400万,2017-01-10,龙华园,昌平,龙泽,, 五至六环,400,41645,96.05,1996年建/板楼,3室1厅,中楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101061819.html
1351,北京太阳城老年公寓1室1厅180万,2017-01-10,北京太阳城老年公寓,昌平,北七家,, 五至六环,180,26087,69,2006年建/板楼,1室1厅,中楼层/共5层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101061806.html
1352,西城区小区楼龄新交通便利近友谊医院天坛公园,2017-01-10,天桥北里,西城,陶然亭,, 二环内,536,87568,61.21,2002年建/塔楼,1室1厅,高楼层/共12层,东南,简装,http://bj.lianjia.com/ershoufang/101101061803.html
1353,爱这城一期板楼南北通透三居，两个阳台，高层，采光好,2017-01-10,爱这城一期,朝阳,十里堡,, 四至五环,1110,84999,130.59,2007年建/板塔结合,3室2厅,高楼层/共20层,南北,精装,http://bj.lianjia.com/ershoufang/101101061776.html
1354,团结湖北二条2室1厅410万,2017-01-10,团结湖北二条,朝阳,团结湖,, 三至四环,410,66397,61.75,1981年建/板楼,2室1厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101061774.html
1355,东贸国际3室2厅400万,2017-01-10,东贸国际,燕郊,燕郊城区,, ,400,31430,127.27,2010年建/塔楼,3室2厅,低楼层/共33层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101061745.html
1356,上东三角洲满五免个税117.80平米,2017-01-10,上东三角洲,朝阳,酒仙桥,, 四至五环,680,57775,117.7,2004年建/塔楼,2室1厅,低楼层/共20层,西,简装,http://bj.lianjia.com/ershoufang/101101061741.html
1357,炫立方，采光充足，交通便利，毛坯房,2017-01-10,炫立方,顺义,顺义其它,, 五至六环,119,26074,45.64,2012年建/塔楼,1室1厅,高楼层/共10层,西,毛坯,http://bj.lianjia.com/ershoufang/101101061732.html
1358,天通西苑一区高楼层南北通透四居,2017-01-10,天通西苑一区,昌平,天通苑,, 五至六环,730,39005,187.16,2001年建/板楼,4室1厅,中楼层/共13层,南北,精装,http://bj.lianjia.com/ershoufang/101101061729.html
1359,炫立方东南朝向，新房，交通便利，采光充足,2017-01-10,炫立方,顺义,顺义其它,, 五至六环,175,28117,62.24,2012年建/塔楼,1室1厅,高楼层/共10层,东南,毛坯,http://bj.lianjia.com/ershoufang/101101061713.html
1360,炫立方开间新房，毛坯房，交通便利,2017-01-10,炫立方,顺义,顺义其它,, 五至六环,119,26074,45.64,2012年建/塔楼,1室1厅,高楼层/共10层,西,平层/毛坯,http://bj.lianjia.com/ershoufang/101101061707.html
1361,绿雅阁2000年商品房，一居户型方正，独立小院。,2017-01-10,绿雅阁,朝阳,芍药居,, 四至五环,537,89995,59.67,2000年建/塔楼,1室1厅,中楼层/共24层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101061699.html
1362,天通苑本三区3室2厅500万,2017-01-10,天通苑本三区,昌平,天通苑,, 五至六环,500,37038,135,1999年建/板楼,3室2厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101061696.html
1363,急售纯南一居采光无遮挡看房随时,2017-01-10,广厦鑫苑,顺义,顺义城,, 五至六环,262,36949,70.91,2005年建/板塔结合,1室1厅,中楼层/共18层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101061681.html
1364,博雅世家3室2厅850万,2017-01-10,博雅世家,顺义,顺义城,, 五至六环,850,46312,183.54,2005年建/板塔结合,3室2厅,中楼层/共15层,南北,精装,http://bj.lianjia.com/ershoufang/101101061679.html
1365,懿品阁1室0厅295万,2017-01-10,懿品阁,朝阳,南沙滩,, 四至五环,295,85236,34.61,2006年建/板塔结合,1室0厅,中楼层/共18层,西,精装,http://bj.lianjia.com/ershoufang/101101061673.html
1366,太月园东南向两居，满五年一套住房，精装修看房方便,2017-01-10,太月园,海淀,知春路,, 二至三环,860,96989,88.67,1999年建/塔楼,2室1厅,高楼层/共26层,东南,精装,http://bj.lianjia.com/ershoufang/101101061647.html
1367,馨莲茗园正规一居室可改两居室正对小区,2017-01-10,馨莲茗园,西城,马连道,, 二至三环,565,86710,65.16,2003年建/板塔结合,1室1厅,高楼层/共25层,东北,平层/精装,http://bj.lianjia.com/ershoufang/101101061646.html
1368,学院派1室1厅340万,2017-01-10,学院派,海淀,皂君庙,, 二至三环,340,54409,62.49,2010年建/塔楼,1室1厅,高楼层/共21层,北,平层/精装,http://bj.lianjia.com/ershoufang/101101061638.html
1369,马家堡2000年商品房一层南向一居室满五年成熟商圈,2017-01-10,大红门35号院,丰台,角门,, 三至四环,320,56259,56.88,1998年建/板楼,1室1厅,低楼层/共6层,南西南,平层/精装,http://bj.lianjia.com/ershoufang/101101061619.html
